Data,Zamkniecie
2019-06-12,8145.85747373
2019-06-13,8230.92383068
2019-06-14,8693.83281543
2019-06-15,8838.37523367
2019-06-16,8994.48801293
2019-06-17,9320.35218253
2019-06-18,9081.76285149
2019-06-19,9273.52176614
2019-06-20,9527.16035008
2019-06-21,10144.5567168
2019-06-22,10701.691013
2019-06-23,10855.3710156
2019-06-24,11011.1024485
2019-06-25,11790.916533
2019-06-26,13016.2317442
2019-06-27,11182.8062855
2019-06-28,12407.331998
2019-06-29,11959.3709764
2019-06-30,10817.1555981
2019-07-01,10583.1345195
2019-07-02,10801.6779238
2019-07-03,11961.2693412
2019-07-04,11215.4375483
2019-07-05,10978.4599518
2019-07-06,11208.5508454
2019-07-07,11450.8467553
2019-07-08,12285.958217
2019-07-09,12573.8129407
2019-07-10,12156.5126313
2019-07-11,11358.661752
2019-07-12,11815.9866867
2019-07-13,11392.3793357
2019-07-14,10256.0582756
2019-07-15,10895.0893874
2019-07-16,9477.64204235
2019-07-17,9693.80272448
2019-07-18,10666.4828491
2019-07-19,10530.7326264
2019-07-20,10767.1395226
2019-07-21,10599.1053965
2019-07-22,10343.1061684
2019-07-23,9900.76801058
2019-07-24,9811.92618837
2019-07-25,9911.84226491
2019-07-26,9870.30353766
2019-07-27,9477.67767811
2019-07-28,9552.86043541
2019-07-29,9519.14591371
2019-07-30,9607.42368665
2019-07-31,10085.6277491
2019-08-01,10399.6694229
2019-08-02,10518.1746772
2019-08-03,10821.7265103
2019-08-04,10970.1842157
2019-08-05,11805.6537253
2019-08-06,11478.1693461
2019-08-07,11941.9683406
2019-08-08,11966.407405
2019-08-09,11862.93676
2019-08-10,11354.0242177
2019-08-11,11523.5793784
2019-08-12,11382.6159562
2019-08-13,10895.8304358
2019-08-14,10051.7039313
2019-08-15,10311.545429
2019-08-16,10374.3393471
2019-08-17,10231.7438454
2019-08-18,10345.8103795
2019-08-19,10916.0538702
2019-08-20,10763.2326304
2019-08-21,10138.049355
2019-08-22,10131.0561021
2019-08-23,10407.965329
2019-08-24,10159.9605385
2019-08-25,10138.517665
2019-08-26,10370.8201605
2019-08-27,10185.4998997
2019-08-28,9754.42327325
2019-08-29,9510.20054413
2019-08-30,9598.17364826
2019-08-31,9630.66384768
2019-09-01,9757.97031807
2019-09-02,10346.7607927
2019-09-03,10623.5401172
2019-09-04,10594.4933536
2019-09-05,10575.533284
2019-09-06,10353.3025592
2019-09-07,10517.254784
2019-09-08,10441.275979
2019-09-09,10334.9741628
2019-09-10,10115.9757913
2019-09-11,10178.3718893
2019-09-12,10410.1268031
2019-09-13,10360.5472773
2019-09-14,10358.0491621
2019-09-15,10347.7129074
2019-09-16,10276.7935649
2019-09-17,10241.2721545
2019-09-18,10198.2484072
2019-09-19,10266.4149694
2019-09-20,10181.6413094
2019-09-21,10019.7169101
2019-09-22,10070.3921064
2019-09-23,9729.32376435
2019-09-24,8620.56642733
2019-09-25,8486.99297206
2019-09-26,8118.96756783
2019-09-27,8251.84555744
2019-09-28,8245.91515478
2019-09-29,8104.18567564
2019-09-30,8293.86774062
2019-10-01,8343.2766814
2019-10-02,8393.04164486
2019-10-03,8259.99197863
2019-10-04,8205.93924121
2019-10-05,8151.50052921
2019-10-06,7988.15595888
2019-10-07,8245.622933
2019-10-08,8228.7831528
2019-10-09,8595.73981722
2019-10-10,8586.47342543
2019-10-11,8321.75671178
2019-10-12,8336.55527417
2019-10-13,8321.00574668
2019-10-14,8374.6864467
2019-10-15,8205.36931588
2019-10-16,8047.52686305
2019-10-17,8103.91137325
2019-10-18,7973.20744597
2019-10-19,7988.56044241
2019-10-20,8222.07826034
2019-10-21,8243.72113905
2019-10-22,8078.20332194
2019-10-23,7514.67201276
2019-10-24,7493.48873154
2019-10-25,8660.70063696
2019-10-26,9244.97220867
2019-10-27,9551.7149631
2019-10-28,9256.14838876
2019-10-29,9427.68758384
2019-10-30,9205.72655905
2019-10-31,9199.58483269
2019-11-01,9261.104352
2019-11-02,9324.71776331
2019-11-03,9235.35487947
2019-11-04,9412.61187106
2019-11-05,9342.52717939
2019-11-06,9360.87991187
2019-11-07,9267.56114253
2019-11-08,8804.88071936
2019-11-09,8813.58248677
2019-11-10,9055.52605732
2019-11-11,8757.78854226
2019-11-12,8815.66253925
2019-11-13,8808.2625823
2019-11-14,8708.09509517
2019-11-15,8491.99201234
2019-11-16,8550.76055694
2019-11-17,8577.9757816
2019-11-18,8309.28598342
2019-11-19,8206.14591807
2019-11-20,8027.26824331
2019-11-21,7642.74994484
2019-11-22,7296.57756843
2019-11-23,7397.7968154
2019-11-24,7047.91688176
2019-11-25,7146.13390214
2019-11-26,7218.37133433
2019-11-27,7531.6636446
2019-11-28,7463.1061283
2019-11-29,7761.24360172
2019-11-30,7569.63012202
2019-12-01,7424.29226516
2019-12-02,7321.98811242
2019-12-03,7320.1454684
2019-12-04,7252.03458617
2019-12-05,7448.30752084
2019-12-06,7546.99669772
2019-12-07,7556.23803387
2019-12-08,7564.3454032
2019-12-09,7400.89935576
2019-12-10,7278.1197833
2019-12-11,7217.4271152
